date,type,price,qty,strategy,balance,pnl_usd,pnl_pct
2025-09-13,BUY,115950.5078125,0.085381,MULTITIMEFRAME,100.0,0.0,0.0
2025-09-25,SELL,109049.2890625,0.085381,MULTITIMEFRAME,9410.77,-589.23,-5.95
2025-10-01,BUY,118648.9296875,0.078523,MULTITIMEFRAME,94.11,0.0,0.0
2025-10-15,SELL,110783.1640625,0.078523,MULTITIMEFRAME,8793.12,-617.64,-6.63
